25,4,157.89,8870.58,13578.79,413.83,1270.36,3024.008700,23.813857
50,4,278.58,16257.83,22419.32,416.06,1574.41,4171.022100,43.029354
75,4,326.96,20426.50,26939.01,418.76,1685.06,4408.692500,64.393803
100,4,353.84,23298.67,29927.73,418.85,1735.09,4475.123000,87.848485
125,4,374.92,25394.74,32133.85,432.67,1784.29,4522.148400,109.179340
150,4,388.95,27034.58,33878.42,477.05,1815.97,4550.821900,124.730879
175,4,412.52,28531.95,35545.68,566.82,1858.55,4588.367500,140.657264
200,4,435.04,29925.77,37203.86,719.50,1906.59,4652.001800,140.633892
225,4,454.76,31103.94,38582.33,848.43,1947.10,4682.859500,139.337730
250,4,486.55,32304.60,40223.99,1146.26,1995.97,4777.170200,135.072937
275,4,518.37,33493.84,41810.02,1401.00,2063.62,4851.568800,118.417184
300,4,545.91,34490.34,43162.17,1647.01,2114.01,4910.810900,123.188441
325,4,575.42,35579.43,44637.37,1900.06,2156.81,5001.070700,121.398523
350,4,601.88,36587.56,45906.39,2048.61,2210.19,5060.024700,125.231341
375,4,634.70,37562.69,47253.56,2289.36,2264.42,5137.092200,118.627930
400,4,655.82,38414.83,48346.28,2458.28,2291.03,5182.138500,126.832100
